Wnd,H2O,Hs,LE,Ustar,L
4.75498,0.61214,42.634,3.19987,0.46992,-184.6532622076323
3.81593,0.69261,0.4799,4.2627,0.33268,-3813.5593220338983
3.53709,0.74046,-11.7988,1.31223,0.30505,184.72906403940888
2.63759,0.7657,-20.711,2.03007,0.26974,72.73315015354775
2.57681,0.78967,-18.4372,0.30921,0.17921,23.853697323085076
2.77422,0.83442,-17.7873,0.46776,0.15232,15.199621698304398
3.03649,0.8746,-21.1541,0.9213,0.18466,22.80443926417676
3.25959,0.91485,-19.5348,0.43714,0.21291,37.81194857574994
3.51184,0.99334,-10.6641,-1.48348,0.18817,47.37340772712917
3.41344,0.96016,-16.6371,1.30318,0.17806,26.062782346808756
3.2487,0.90689,-8.47716,0.55632,0.13251,21.070375052675935
2.8485,0.8691,-17.6265,1.37911,0.15251,15.464980411024811
