Wnd,H2O,Hs,LE,Ustar,L
3.65264,3.22065,176.642,3.98671,0.120314,-0.803931
3.96478,3.138642,158.538,3.38209,0.29149,-12.7354
5.41023,3.101832,183.191,3.1154,0.334495,-16.6525
4.8506,3.035052,184.635,6.07354,0.283315,-10.0382
4.76704,2.959812,174.118,2.4359,0.310483,-14.0067
4.65083,2.913984,174.831,2.22099,0.327492,-16.3675
4.37789,2.878146,183.609,1.4187,0.301878,-12.2052
3.87577,2.826702,142.471,0.0352914,0.257854,-9.80132
3.65388,2.80269,146.879,2.15215,0.376592,-29.617
3.44417,2.777957999999999,126.969,0.222617,0.191529,-4.50691
7.36021,2.608848,134.535,8.7705,0.48437,-68.7865
7.51948,2.470752,114.535,-0.0497541,0.448787,-64.2646
7.16583,2.356848,51.7469,-2.34533,0.370728,-80.1817
8.33288,2.125746,21.8216,-1.34816,0.431094,-298.955
8.65467,1.982088,-1.85957,0.427941,0.444375,3842.54
7.45456,1.920798,-15.1823,-0.463204,0.373097,278.635
7.32515,1.891062,-19.6589,0.124924,0.385374,237.184
8.06484,1.86597,-19.5562,-0.645997,0.44406,364.883
8.30109,1.903032,-17.8954,-0.215729,0.42103,339.931
7.99793,1.91907,-22.1343,-0.514091,0.427364,287.445
7.75392,1.927656,-23.8312,-1.02553,0.413054,241.045
8.05617,1.938096,-27.8806,-0.841599,0.417932,213.41
10.1682,1.90233,-26.2326,-0.463914,0.549817,516.295
10.9682,1.946178,-25.5896,-0.151887,0.574682,604.257
10.4692,1.995768,-18.1321,-0.936976,0.523369,644.065
9.78384,1.97928,-10.5805,-0.659027,0.494468,930.78
7.59072,2.048634,-11.4738,-4.26329,0.380872,392.262
5.41259,2.171088,-6.44636,5.80384,0.425224,971.842
3.12512,2.187684,-8.92366,-1.56492,0.128088,19.1931
5.67189,2.2167,-12.7454,-1.97557,0.314815,199.501
5.1484,2.274894,-2.31336,0.630919,0.291622,873.584
4.39169,2.319408,-6.85859,-1.31756,0.242118,168.64
2.96353,2.35242,-3.52401,-1.00207,0.158494,92.0686
2.62205,2.373624,-8.0392,-1.4686,0.175209,54.52
3.92519,2.390201999999999,-4.19535,-0.75495,0.200273,156.042
4.14111,2.415402,-5.78574,-1.11801,0.163702,61.803
4.30184,2.424258,-6.27887,-0.645573,0.136938,33.3455
4.23262,2.425824,-7.78863,-0.835519,0.180774,61.8663
4.02063,2.444796,-5.39807,-0.692656,0.168068,71.772
4.20657,2.474208,-1.02402,-0.399232,0.193318,576.085
5.14762,2.527884,3.93084,-0.630489,0.224379,-234.769
6.46003,2.590056,14.2675,-1.92315,0.318385,-184.865
7.8155,2.65464,25.5079,-1.08777,0.332327,-117.621
7.24931,2.705544,41.3761,-0.139076,0.350669,-85.2161
7.09923,2.7288,82.1553,1.03324,0.348981,-42.3082
7.07805,2.756304,72.6318,0.753934,0.32241,-37.7433
6.54955,2.75985,90.9272,0.712963,0.369496,-45.3892
